"# of Use","# em Uso"
"%1$s incl tax.","%1$s incl taxa."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"Retrieve products list by filters","Recuperar lista de produtos por filtro"
"Review has been successfully saved","Comentário foi salvo com sucesso"
"Review successfully deleted","Comentário excluído com sucesso"
"Review was removed by another user or does not exists","Comentário foi removido pelo usuário ou não existe"
"Review was successfully saved","Comentário foi salvo com sucesso"
"Reviews","Comentários"
"Roll Over for preview","Rolar uma prévia"
"Root","Principal"
"SKU","SKU"
"Save","Salvar"
"Save And Continue Edit","Salvar e Continuar"
"Save Attribute","Salvar"
"Save Attribute Set","Salvar"
"Save Category","Salvar"
"Save Search","Salvar"
"Saved ","Salvo "
"Save and Continue Edit","Salvar e Continuar Editando"
"Saved %d record(s)","Salvar %d registro(s)"
"Scope","Ambiente"
"Search","Procurar"
"Search Engine Optimizations","SEO - Search Engine Optimizations"
"Search Information","Informação de Busca"
"Search Query","Critério de Pesquisa"
"Search Term with such search query already exist.","Termos de pesquisa com estes critérios já existe."
"Search was successfully deleted","Pesquisa foi excluída com sucesso"
"Searchable","Encontrado em Pesquisas"
"Select Category...","Selecionar Categoria..."
"Select Configurable Attributes ","Selecionar Atributos Configuráveis "
"Select Product...","Selecionar Produto..."
"Select type of option","Selecionar tipo de opção"
"Select type options required values rows.","Tipo de opção selecionado requer valores."
"Selected Product Types","Tipos de Produtos Selecionados..."
"Selected configuration is not available.","Configuração selecionada não está disponível."
"Send Count","Enviar Contador"
"Set Ascending Direction","Indicar Direção Ascendente"
"Set Descending Direction","Indicar Direção Descendente"
"Set Name","Nome do Grupo"
"Set Root Category For Store","Indicar Categoria Principal para Loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Informe a categoria principal para esta loja nas <a href=""%s"">configurações</a>"
"Set special price","Informe Preço Promocional"
"Set/Get current store view","Informar/Recuperar a visão atual"
"Settings","Opções"
"Shop By","Filtrar Resultados"
"Shopping Options","Opções de Escolha"
"Shopping options","Opções de compras"
"Show","Exibir"
"Show Details","Ver Detalhes"
"Show Tags","Exibir Tags"
"Simple Product","Produto Simples"
"Site Map","Mapa do Site"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ignorar linha importada, valor inválido ""%s"" para o campo ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Ignorar linha importada, campo obrigatório ""%s"" para novos clientes não informado"
"Skip import row, the value ""%s"" is invalid for field ""%s""","Ignorar linha importada, o valor do campo ""%s"" é inválido ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Ignorar linha importada, campo obrigatório ""%s"" para novos produtos não informado."
"Skipping import row, required field ""%s"" is not defined.","Ignorar linha importada, campo obrigatório ""%s"" não informado."
"Skipping import row, store ""%s"" field does not exists.","Ignorar linha importada, campo loja ""%s"" não existe."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Ignorar linha importada, o valor ""%s"" não é valido para o campo ""%s""."
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Alguns produtos abaixo não possuem opções necessárias. Remova e adicione novamente com as opções obrigatórias."
"Sort By","Organizar por"
"Sort Order","Ordem de Visualização"
"Source Model","Modelo de Fonte"
"Special Price:","Promoção:"
"Starting at:","Iniciando em:"
"Static","Estático"
"Static block and products","Produtos e Blocos estáticos"
"Static block only","Apenas bloco estático"
"Status","Status"
"Stock Availability","Disponível em Estoque"
"Store","Loja"
"Store View","Visão"
"Stretch","Esticar"
"Subscribe to RSS Feed","Assinar RSS Feed"
"Super product attributes configuration","Super configuração de atributos do produto"
"Synonym For","Sinônimo para"
"Synonym for","Sinônimo para"
"System Properties","Propriedades do Sistema"
"Tag Name","Nome da Tag"
"Tax","Taxa"
"Template","Modelo"
"Text","Texto"
"The Flat Catalog module has a limit of %2\$d filterable and/or sortable attributes. Currently there are %1\$d of them. Please reduce the number of filterable/sortable attributes in order to use this module.","O módulo de catálogo Flat tem um limite de %2\$d filtráveis e/ou atributos de ordenação. Atualmente existem %1\$d para ele. Reduza o número de atributos para filtros/ordens para usar este módulo."
"The attribute model is not defined","O modelo do atributo não foi informado"
"The attribute set has been saved.","O atributo foi salvo."
"The base directory to upload image file is not specified.","O diretório base para upload do arquivo de imagem não foi informado."
"The category has been deleted.","A categoria foi excluída."
"The category has been saved.","A categoria foi salva."
"The comparison list was cleared.","A lista de comparação foi limpa."
"The email template is not specified by administrator.","O modelo de e-mail não foi informado pelo administrador."
"The filters must be an array.","O filtro precisa ser um array."
"The image contents is not valid base64 data.","O conteúdo da imagem não possui dados base64 válidos."
"The image is not specified.","A imagem não foi informada."
"The product %s has been added to comparison list.","O produto %s foi adicionado a lista de comparação."
"The product %s has been removed from comparison list.","O produto %s foi removido da lista de comparação."
"The product attribute has been deleted.","O atributo do produto foi excluído."
"The product attribute has been saved.","O atributo do produto foi salvo."
"The product has been created.","O produto foi criado."
"The product has been deleted.","O produto foi excluído."
"The product has been duplicated.","O produto foi duplicado."
"The product has been saved.","O produto foi salvo."
"The product has required options","O produto tem opções obrigatórias"
"The review has been deleted","A análise foi excluída"
"The review has been saved.","A análise foi salva."
"The review was removed by another user or does not exist.","A análise foi excluída por outro usuário ou não existe."
"The search was deleted.","A busca foi excluída."
"The text is too long","O texto é muito grande"
"There are no %s available.","Não há %s disponíveis."
"There are no customers for this alert","Não existe nenhum cliente para este alerta"
"There are no customers for this alert.","Não existe nenhum cliente para este alerta."
"There are no products matching the selection.","Não existe nenhum produto com as opções selecionadas."
"There was an error while adding products to websites","Ocorreu um erro ao adicionar produtos no website"
"There was an error while cleared compare list","Ocorreu um erro ao limpar lista de comparação"
"There was an error while removing products from websites","Ocorreu um erro ao excluir produtos do website"
"There was an error while updating product(s) attributes","Ocorreu um erro ao atualizar atributos dos produtos"
"There was an error while updating product(s) status","Ocorreu um erro ao atualizar status dos produtos"
"This Attribute no longer exists","Este Atributo não existe mais"
"This attribute cannot be deleted.","Este atributo não pode ser excluído."
"This Product no longer exists","Este Produto não existe mais"
"This attribute cannot be edited.","Este atributo não pode ser editado."
"This attribute cannot be updated.","Este atributo não pode ser atualizado."
"This attribute is used in configurable products. You cannot remove it from the attribute set.","Este atributo é usado para produtos configuráveis. Você não pode excluir da lista de atributos."
"This attribute no longer exists","Este Atributo não existe mais"
"This attribute set no longer exists.","Este Atributo não existe mais."
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contém atributos, usados em produtos configuráveis. Mova estes atributos para outro grupo e tente novamente."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contém atributos do sistema. Mova os atributos do sistema para outro grupo e tente novamente."
"This is a required option","Essa opção é obrigatória"
"This product no longer exists.","Este produto não existe mais."
"This search no longer exists.","Essa pesquisa não existe mais."
"Tier Pricing","Faixa de Preços"
"Tile","Tile"
"Time Format","Formato da Hora"
"Title","Título"
"To reindex the enabled product(s), the store or product must be specified.","Para re-indexar os produtos habilitados, a loja ou produto precisa ser informado."
"Top/Left","Topo/Esquerda"
"Top/Right","Topo/Direita"
"Total Qty Base Items","Total Qtd Base Itens"
"Total incl. Tax: %1$s","Total incl. Taxa: %1$s"
"Total of %d record(s) were successfully deleted","Total de %d registro(s) excluídos com sucesso"
"Total of %d record(s) were successfully updated","Total de %d registro(s) atualizados com sucesso"
"Type","Tipo"
"URL Rewrite Management","Reescrita de URL"
"URL rewrite save problem.","Reescrita de URL problema resolvido."
"Unable to complete this request. Please try again later.","Não foi possível completar a solicitação. Tente novamente."
"Unable to find a search term to delete.","Não foi possível encontrar o termo de busca excluído."
"Unable to find an attribute to delete.","Não foi possível encontrar o atributo excluído."
"Unable to get the product ID.","Não foi possível recuperar o id do produto."
"Unassigned Attributes","Atributos Não Assinados"
"Unknown attribute: %s","Atributo desconhecido: %s"
"Unknown EAV indexer type ""%s"".","Tipo de indexador EAV desconhecido ""%s""."
"Unknown attribute: %s.","Atributo desconhecido: %s."
"Unsupported product type ""%s""","Tipo de produto não suportado ""%s"""
"Up-sells","Venda Agregada"
"Update","Atualizar"
"Update Attributes","Atualizar Atributos"
"Update Tier Price","Atualizar Faixa de Preço"
"Update assigned product","Atualizar produto assinado"
"Update attributes","Atualizar atributos"
"Update category","Atualizar categoria"
"Update product","Atualizar produto"
"Update product image","Atualizar imagem do produto"
"Update product link","Atualizar link do produto"
"Update product tier prices","Atualizar faixa de preços do produto"
"Upload new product image ","Enviar nova imagem do produto"
"Url Rewrite Management","Gerenciar Reescrita de Url"
"Use Canonical Link Meta Tag For Categories","Usar link canonical meta tag para Categorias"
"Use Canonical Link Meta Tag For Products","Usar canonical link meta tag para Produtos"
"Use Categories Path for Product URLs","Usar Caminho das Categorias nas URLs dos Produtos"
"Use Config Settings","Usar Configurações"
"Use Default Value","Usar Valor Padrão"
"Use Flat Catalog Category","Usar Catálogo de Categoria Unificado"
"Use Flat Catalog Product","Usar Catálogo de Produto Unificado"
"Use In Layered Navigation","Usar em Navegação de Camadas"
"Use In Search Results Layered Navigation","Usar em Resultados de Busca de Navegação de Camadas"
"Use JavaScript Calendar","Usar Calendário JavaScript"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Usar URL Estática para Conteúdo de Mídia no WYSIWYG para Catálogos"
"Use To Create Configurable Product","Usar para Criar Produtos Configuráveis"
"Use Tree Like Category Sitemap","Usar como Árvore de Categoria no Sitemap"
"Use categories path for product URLs","Usar o caminho das categorias nas URLs dos produtos"
"Use default","Usar padrão"
"Use for Promo Rule Conditions","Usar para Condições de Regras de Promoção"
"Use four-digit year format.","Usar formato de quatro dígitos no ano."
"Use in Advanced Search","Usar na Busca Avançada"
"Use in Layered Navigation","Usar na Camada de Navegação"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar em Navegação de Camadas<br/>(Pode ser usado apenas com catálogo input tipo 'Combobox')"
"Use for Price Rule Conditions","Usar para Condições de Regras de Preços"
"Use in advanced search","Usar em busca avançada"
"Use in Quick Search","Usar em busca rápida"
"Used for Sorting in Product Listing","Usado para organizar a listagem de produtos"
"Used in Product Listing","Usado na listagem de produtos"
"Value for ""%s"" is invalid.","Valor para ""%s"" é inválido."
"Value for ""%s"" is invalid: %s","Valor para ""%s"" é inválido: %s"
"Varchar","Varchar"
"View as","Visualizar"
"Virtual Product","Produto Virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visível nas Páginas de Catálogo do Front-end"
"Visible on Product View Page on Front-end","Visível nas Páginas de Produtos do Front-end"
"WYSIWYG Editor","Editor WYSIWYG"
"Watermark","Marca D'água"
"Watermark Default Size","Marca D'água Tamanho Padrão"
"Watermark Opacity, Percent","Marca D'água Transparência Percentual"
"Watermark Position","Marca D'água Posição"
"We Also Recommend","Nós Também Recomendamos"
"Website","Website"
"Websites","Websites"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Permitir mostrar opção ""Todos"" nas opções de combobox ""Exibir X por Página""."
"Wrong BuyRequest instance in options group.","Instância errada de BuyRequest nas opções do grupo."
"Wrong option instance type in options group.","Tipo de instância errada para opção no grupo de opções."
"Wrong option type to get group instance.","Tipo de opção errada para recuperar grupo de instância."
"Wrong product instance type in options group","Tipo de instância errada para produto nas opções do grupo"
"Wrong product type filter specified","Tipo de filtro de produto especificado errado"
"Wrong quote item instance in options group","Seleção de instância de item errada para grupo de opções"
"Wrong quote item option instance in options group","Seleção errada para a opção de instância do item nas opções de grupo"
"Year Range","Faixa de Ano"
"Yes","Sim"
"You cannot delete this attribute","Você não pode excluir este atributo"
"You cannot edit this attribute","Você não pode editar este atributo"
"You cannot email this product to a friend.","Você não pode enviar um e-mail deste produto a um amigo."
"You cannot remove system attribute from this set.","Você não pode remover atributo do sistema por este valor."
"You cannot send more than %d emails at a time.","Você não pode enviar mais de %d emails por vez."
"You cannot update this attribute","Você não pode atualizar este atributo"
"You have exceeded limit of %d sends in an hour.","Você excedeu o limite de %d envios por hora."
"You have no items to compare.","Nada para comparar."
"You have to specify at least one recipient.","Você precisa informar ao menos um recipiente."
"You may also be interested in the following product(s)","Você pode estar interessado nos seguintes produtos"
"Zoom In","Aproximar"
"Zoom Out","Afastar"
"[GLOBAL]","[GLOBAL]"
"and","e"
"cache refresh needed","necessário atualizar o cache"
"categories","categorias"
"comma separated","separado por vírgula"
"each","cada"
"ex. http://domain.com","ex. http://domain.com"
"leave blank if its not an image","deixe em branco se isso não for uma imagem"
"must be in the allowed values list","precisa ser um dos valores disponíveis na lista"
"per page","por página"
"products","produtos"
"px.","px."
"save","Salvar"
"select all","marcar todos"
"unselect all","desmarcar todos"
"We also recommend","Recomendamos"
"whether to show ""All"" option in the ""Show X Per Page"" dropdown","Se exibir ""Todos"" nas opções de ""Exibir X por Página"" combobox"
"x","x"
